iter	Passed	Remaining
705	22587	9406
706	22619	9374
707	22650	9341
708	22683	9310
709	22715	9278
710	22749	9246
711	22790	9218
712	22824	9187
713	22857	9155
714	22890	9124
715	22924	9093
716	22959	9062
717	22990	9029
718	23026	8999
719	23060	8967
720	23093	8936
721	23125	8904
722	23159	8873
723	23192	8841
724	23225	8809
725	23257	8777
726	23287	8744
727	23321	8713
728	23358	8683
729	23388	8650
730	23417	8617
731	23445	8583
732	23474	8550
733	23506	8518
734	23538	8486
735	23571	8455
736	23598	8421
737	23628	8388
738	23658	8355
739	23691	8324
740	23724	8292
741	23751	8258
742	23781	8225
743	23809	8192
744	23840	8160
745	23869	8127
746	23898	8094
747	23929	8061
748	23959	8029
749	23990	7996
750	24023	7965
751	24051	7931
752	24079	7898
753	24108	7865
754	24140	7833
755	24172	7801
756	24201	7768
757	24231	7736
758	24264	7704
759	24296	7672
760	24330	7641
761	24361	7608
762	24392	7576
763	24423	7544
764	24455	7512
765	24487	7480
766	24515	7447
767	24546	7415
768	24575	7382
769	24606	7349
770	24636	7317
771	24666	7284
772	24695	7252
773	24726	7219
774	24758	7187
775	24787	7155
776	24815	7122
777	24844	7089
778	24876	7057
779	24904	7024
780	24936	6992
781	24966	6959
782	24997	6927
783	25028	6895
784	25059	6863
785	25084	6829
786	25112	6796
787	25143	6764
788	25174	6732
789	25205	6700
790	25234	6667
791	25265	6635
792	25296	6603
793	25328	6571
794	25359	6539
795	25391	6507
796	25423	6475
797	25454	6443
798	25486	6411
799	25514	6378
800	25543	6346
801	25575	6314
802	25604	6281
803	25636	6249
804	25666	6217
805	25694	6184
806	25724	6152
807	25755	6120
808	25785	6087
809	25816	6055
810	25845	6023
811	25873	5990
812	25904	5958
813	25935	5926
814	25963	5893
815	25993	5861
816	26024	5829
817	26054	5796
818	26085	5764
819	26116	5732
820	26144	5700
821	26175	5668
822	26203	5635
823	26225	5601
824	26257	5569
825	26286	5537
826	26317	5505
827	26348	5473
828	26379	5441
829	26409	5409
830	26440	5377
831	26471	5345
832	26499	5312
833	26531	5280
834	26562	5248
835	26594	5217
836	26620	5184
837	26650	5151
838	26681	5120
839	26708	5087
840	26737	5054
841	26766	5022
842	26796	4990
843	26834	4959
844	26871	4929
845	26905	4897
846	26938	4866
847	26970	4834
848	27003	4802
849	27039	4771
850	27066	4738
851	27100	4707
852	27135	4676
853	27169	4644
854	27202	4613
855	27239	4582
856	27270	4550
857	27302	4518
858	27334	4486
859	27365	4454
860	27394	4422
861	27422	4390
862	27452	4358
863	27480	4325
864	27510	4293
865	27537	4260
866	27567	4228
867	27597	4196
868	27629	4165
869	27658	4132
870	27688	4100
871	27718	4068
872	27747	4036
873	27778	4004
874	27807	3972
875	27837	3940
876	27865	3908
877	27894	3876
878	27926	3844
879	27959	3812
880	27991	3780
881	28023	3749
882	28052	3717
883	28080	3684
884	28110	3652
885	28137	3620
886	28168	3588
887	28199	3556
888	28224	3524
889	28253	3492
890	28283	3460
891	28311	3427
892	28345	3396
893	28377	3364
894	28409	3332
895	28441	3301
896	28475	3269
897	28508	3238
898	28544	3206
899	28573	3174
900	28602	3142
901	28632	3110
902	28662	3078
903	28692	3047
904	28723	3015
905	28754	2983
906	28783	2951
907	28814	2919
908	28842	2887
909	28872	2855
910	28903	2823
911	28935	2792
912	28964	2760
913	28995	2728
914	29027	2696
915	29055	2664
916	29085	2632
917	29115	2600
918	29140	2568
919	29163	2535
920	29190	2503
921	29222	2472
922	29250	2440
923	29282	2408
924	29311	2376
925	29346	2345
926	29383	2313
927	29417	2282
928	29447	2250
929	29478	2218
930	29502	2186
931	29532	2154
932	29561	2122
933	29591	2091
934	29622	2059
935	29653	2027
936	29684	1995
937	29716	1964
938	29748	1932
939	29780	1900
940	29810	1869
941	29837	1837
942	29866	1805
943	29895	1773
944	29927	1741
945	29959	1710
946	29988	1678
947	30018	1646
948	30050	1614
949	30074	1582
950	30103	1551
951	30135	1519
952	30166	1487
953	30198	1456
954	30227	1424
955	30258	1392
956	30291	1361
957	30324	1329
958	30356	1297
959	30386	1266
960	30415	1234
961	30446	1202
962	30477	1170
963	30505	1139
964	30532	1107
965	30561	1075
966	30588	1043
967	30616	1012
968	30647	980
969	30679	948
970	30711	917
971	30739	885
972	30768	853
973	30798	822
974	30829	790
975	30854	758
976	30885	727
977	30917	695
978	30949	663
979	30980	632
980	31011	600
981	31042	569
982	31069	537
983	31100	505
984	31132	474
985	31163	442
986	31195	410
987	31227	379
988	31257	347
989	31289	316
990	31319	284
991	31349	252
992	31377	221
993	31407	189
994	31438	157
995	31467	126
996	31493	94
997	31523	63
998	31554	31
999	31583	0
